date,Open,High,Low,Close,Volume
2018-11-26,50.5,51.5,50.5,51.5,2028874
2018-11-27,51.4,52.0,51.4,52.0,842018
2018-11-28,51.9,51.9,51.5,51.5,293971
2018-11-29,51.5,51.6,51.3,51.3,442529
2018-11-30,51.3,51.3,51.2,51.2,217155
2018-12-03,51.2,51.3,51.0,51.2,737882
2018-12-04,51.1,51.1,51.0,51.0,756548
2018-12-05,51.0,51.1,50.9,51.0,224497
2018-12-06,51.0,51.0,50.9,51.0,215052
2018-12-07,51.0,51.1,51.0,51.0,204442
2018-12-10,51.0,51.0,50.9,50.9,417448
2018-12-11,50.9,51.0,50.9,51.0,207555
2018-12-12,51.0,51.1,51.0,51.0,263867
2018-12-13,50.9,51.1,50.9,51.0,129091
2018-12-14,51.0,51.0,50.9,51.0,325998
2018-12-17,51.1,51.3,51.1,51.2,119140
2018-12-18,51.2,51.2,51.2,51.2,42966
2018-12-19,51.2,51.4,51.2,51.3,74573
2018-12-20,51.3,51.4,51.3,51.4,215538
2018-12-21,51.4,51.5,51.3,51.3,99386
2018-12-22,51.3,51.3,51.3,51.3,23744
2018-12-24,51.3,51.4,51.3,51.4,55969
2018-12-25,51.3,51.3,51.3,51.3,76958
2018-12-26,51.3,51.4,51.3,51.3,66523
2018-12-27,51.4,51.4,51.3,51.4,42835
2018-12-28,51.4,51.4,51.4,51.4,50229
2019-01-02,51.4,51.5,51.3,51.4,59326
2019-01-03,51.4,51.5,51.4,51.4,58479
2019-01-04,51.4,51.5,51.4,51.5,67582
2019-01-07,51.5,51.6,51.4,51.5,71660
2019-01-08,51.5,51.6,51.5,51.6,24873
2019-01-09,51.5,51.6,51.5,51.5,82164
2019-01-10,51.5,51.6,51.5,51.5,23497
2019-01-11,51.6,51.6,51.5,51.6,142321
2019-01-14,51.5,51.6,51.5,51.6,56633
2019-01-15,51.5,51.6,51.5,51.6,36098
2019-01-16,51.6,51.7,51.5,51.7,66055
2019-01-17,51.6,51.7,51.6,51.7,7603
2019-01-18,51.6,51.8,51.6,51.7,52779
2019-01-21,51.7,51.8,51.6,51.7,47037
2019-01-22,51.7,51.8,51.7,51.8,42867
2019-01-23,51.8,51.9,51.8,51.9,39219
2019-01-24,51.9,52.0,51.8,51.9,41580
2019-01-25,51.9,51.9,51.7,51.9,57793
2019-01-28,51.8,52.0,51.8,52.0,29149
2019-01-29,52.0,52.2,52.0,52.1,75151
2019-01-30,52.2,52.2,52.1,52.1,47320
2019-02-11,52.1,52.3,52.1,52.3,49808
2019-02-12,52.3,52.5,52.3,52.5,33655
2019-02-13,52.5,52.5,52.4,52.5,24389
2019-02-14,52.5,52.5,52.4,52.4,30717
2019-02-15,52.4,52.5,52.4,52.5,23077
2019-02-18,52.5,52.8,52.5,52.7,30054
2019-02-19,52.7,52.7,52.4,52.5,33636
2019-02-20,52.4,52.6,52.4,52.6,22462
2019-02-21,52.4,52.6,52.4,52.6,30732
2019-02-22,52.4,52.6,52.4,52.6,28567
2019-02-25,52.5,52.5,52.4,52.5,41597
2019-02-26,52.5,52.5,52.4,52.5,99164
2019-02-27,52.4,52.5,52.4,52.5,34221
2019-03-04,52.4,52.5,52.4,52.5,202812
2019-03-05,52.5,52.6,52.5,52.5,194028
2019-03-06,52.5,52.5,52.4,52.5,108359
2019-03-07,52.5,52.5,52.4,52.4,160204
2019-03-08,52.5,52.5,52.4,52.5,62038
2019-03-11,52.4,52.6,52.4,52.6,40047
2019-03-12,52.5,52.6,52.5,52.6,18716
2019-03-13,52.5,52.7,52.5,52.7,24873
2019-03-14,52.7,52.7,52.6,52.7,24747
2019-03-15,52.6,52.7,52.5,52.7,38627
2019-03-18,52.5,52.7,52.5,52.7,16759
2019-03-19,52.7,52.7,52.6,52.7,52943
2019-03-20,52.6,52.7,52.6,52.6,96163
2019-03-21,52.6,52.7,52.6,52.7,26750
2019-03-22,52.6,52.9,52.6,52.9,38049
2019-03-25,52.9,52.9,52.8,52.9,201400
2019-03-26,52.8,53.0,52.8,53.0,41346
2019-03-27,53.0,53.1,52.9,53.1,76145
2019-03-28,52.9,53.1,52.9,53.0,28349
2019-03-29,53.0,53.2,52.9,53.1,77757
2019-04-01,53.1,53.2,53.1,53.2,34864
2019-04-02,53.1,53.4,53.1,53.3,42811
2019-04-03,53.0,53.4,53.0,53.3,25834
2019-04-08,53.3,53.5,53.2,53.5,74769
2019-04-09,53.5,53.6,53.5,53.6,28257
2019-04-10,53.5,53.6,53.5,53.6,21674
2019-04-11,53.5,53.5,53.4,53.5,55867
2019-04-12,53.4,53.5,53.4,53.5,35453
2019-04-15,53.5,53.5,53.3,53.4,47477
2019-04-16,53.5,53.6,53.3,53.6,33581
2019-04-17,53.6,53.7,53.5,53.7,25807
2019-04-18,53.6,53.7,53.6,53.6,13747
2019-04-19,53.6,53.7,53.6,53.7,22747
2019-04-22,53.7,53.8,53.6,53.8,28873
2019-04-23,53.8,53.8,53.7,53.8,37873
2019-04-24,53.8,53.8,53.7,53.8,11582
2019-04-25,53.7,53.9,53.7,53.9,34077
2019-04-26,53.8,53.9,53.7,53.9,12873
2019-04-29,53.7,53.9,53.7,53.9,8000
2019-04-30,53.8,53.9,53.7,53.9,37291
2019-05-02,53.9,54.0,53.8,53.9,22710
2019-05-03,54.0,54.1,54.0,54.1,68873
2019-05-06,54.0,54.1,53.7,54.1,89538
2019-05-07,54.0,54.1,53.8,54.1,15164
2019-05-08,53.9,54.0,53.8,54.0,64100
2019-05-09,53.8,54.0,53.7,53.9,48873
2019-05-10,53.9,54.0,53.8,54.0,47108
2019-05-13,54.0,54.0,53.8,53.8,89336
2019-05-14,53.7,53.8,53.7,53.7,65836
2019-05-15,53.7,53.8,53.7,53.8,16340
2019-05-16,53.8,53.9,53.7,53.9,112866
2019-05-17,53.8,53.8,53.8,53.8,67153
2019-05-20,53.8,53.9,53.7,53.9,49000
2019-05-21,53.9,53.9,53.8,53.8,38000
2019-05-22,53.8,53.8,53.8,53.8,11600
2019-05-23,53.8,53.9,53.8,53.9,105963
2019-05-24,53.8,53.8,53.7,53.8,15291
2019-05-27,53.8,53.8,53.8,53.8,42102
2019-05-28,53.7,53.8,53.7,53.8,17873
2019-05-29,53.7,53.8,53.5,53.8,24164
2019-05-30,53.6,53.7,53.5,53.7,15873
2019-05-31,53.5,53.6,53.5,53.6,99660
2019-06-03,53.6,53.6,53.5,53.6,9000
2019-06-04,53.5,53.6,53.4,53.6,26320
2019-06-05,53.5,53.6,53.5,53.6,2110
2019-06-06,53.5,53.6,53.4,53.6,14320
2019-06-10,53.4,53.6,53.4,53.6,29174
2019-06-11,53.4,53.6,53.4,53.6,15959
2019-06-12,53.4,53.6,53.4,53.6,42682
2019-06-13,53.4,53.6,53.4,53.6,4000
2019-06-14,53.4,53.6,53.4,53.6,22000
2019-06-17,53.6,53.6,53.6,53.6,1500
2019-06-18,53.4,53.6,53.4,53.6,17000
2019-06-19,53.4,53.6,53.4,53.6,24873
2019-06-20,53.6,53.6,53.4,53.6,6000
2019-06-21,53.3,53.6,53.3,53.6,23873
2019-06-24,53.4,53.6,53.4,53.6,8291
2019-06-25,53.6,53.6,53.4,53.5,10330
2019-06-26,53.4,53.5,53.4,53.5,2291
2019-06-27,53.4,53.4,53.3,53.4,20164
2019-06-28,53.3,53.4,53.3,53.4,6825
2019-07-01,53.4,53.4,53.3,53.4,16038
2019-07-02,53.4,53.4,53.3,53.4,7179
2019-07-03,53.3,53.7,53.3,53.7,101100
2019-07-04,53.7,53.7,53.5,53.7,10611
2019-07-05,53.5,53.6,53.5,53.6,8291
2019-07-08,53.5,53.6,53.5,53.6,21018
2019-07-09,53.5,53.6,53.5,53.6,8723
2019-07-10,53.6,53.8,53.6,53.8,55699
2019-07-11,53.8,53.8,53.6,53.8,13165
2019-07-12,53.6,53.8,53.6,53.8,10544
2019-07-15,53.8,53.8,53.7,53.8,24087
2019-07-16,53.8,53.9,53.8,53.9,14462
2019-07-17,53.9,54.0,53.7,54.0,33100
2019-07-18,54.0,54.0,53.9,54.0,13407
2019-07-19,54.0,54.1,54.0,54.1,33873
2019-07-22,54.1,54.2,54.0,54.1,35287
2019-07-23,54.0,54.2,53.9,54.1,92102
2019-07-24,53.9,54.0,53.8,54.0,26582
2019-07-25,53.8,53.9,53.8,53.9,13973
2019-07-26,54.0,54.0,53.7,53.9,9032
2019-07-29,53.8,53.9,53.8,53.9,3000
2019-07-30,53.9,53.9,53.9,53.9,1728
2019-07-31,53.9,54.0,53.7,53.9,10329
2019-08-01,53.7,53.9,53.7,53.9,16200
2019-08-02,53.7,53.9,53.6,53.9,13310
2019-08-05,53.6,53.9,53.6,53.9,27090
2019-08-06,53.7,53.9,53.5,53.9,15582
2019-08-07,53.7,53.8,53.7,53.8,6000
2019-08-08,53.6,53.8,53.5,53.8,23904
2019-08-12,53.6,53.8,53.6,53.8,45316
2019-08-13,53.6,53.8,53.5,53.8,10291
2019-08-14,53.6,53.8,53.6,53.8,7455
2019-08-15,53.6,53.8,53.5,53.8,13049
2019-08-16,53.8,53.8,53.8,53.8,1000
2019-08-19,53.6,53.8,53.6,53.8,16000
2019-08-20,53.8,53.9,53.8,53.9,6669
2019-08-21,54.0,54.0,53.7,54.0,43923
2019-08-22,53.9,54.0,53.9,54.0,25291
2019-08-23,54.0,54.1,54.0,54.0,22913
2019-08-26,53.8,54.0,53.8,54.0,15087
2019-08-27,53.8,54.0,53.8,54.0,22794
2019-08-28,54.0,54.1,53.8,54.1,53768
2019-08-29,53.8,54.1,53.8,54.1,50202
2019-08-30,54.0,54.1,54.0,54.1,28707
2019-09-02,54.1,54.3,54.1,54.3,26297
2019-09-03,54.2,54.3,54.0,54.3,52215
2019-09-04,54.3,54.3,54.1,54.3,31811
2019-09-05,54.3,54.3,54.1,54.3,36005
2019-09-06,54.3,54.3,54.2,54.3,45796
2019-09-09,54.3,54.3,54.2,54.3,40100
2019-09-10,54.3,54.4,54.2,54.3,60100
2019-09-11,54.3,54.3,54.2,54.3,37582
2019-09-12,54.3,54.3,54.2,54.3,28374
2019-09-16,54.2,54.3,54.1,54.3,47216
2019-09-17,54.2,54.3,54.2,54.3,39773
2019-09-18,54.1,54.2,54.0,54.2,38109
2019-09-19,54.2,54.2,54.2,54.2,27338
2019-09-20,54.1,54.2,54.1,54.2,28250
2019-09-23,54.2,54.2,53.9,54.2,40273
2019-09-24,54.2,54.2,54.1,54.2,31200
2019-09-25,54.2,54.2,54.1,54.2,48100
2019-09-26,54.2,54.2,54.2,54.2,30000
2019-09-27,54.0,54.2,53.9,54.2,41786
2019-10-01,54.2,54.2,54.0,54.2,31000
2019-10-02,54.0,54.1,54.0,54.1,6582
2019-10-03,54.1,54.1,53.9,54.1,62000
2019-10-04,53.9,54.1,53.9,54.1,5873
2019-10-07,54.1,54.1,54.1,54.1,35096
2019-10-08,53.9,54.1,53.9,54.1,5873
2019-10-09,54.1,54.1,54.0,54.1,9000
2019-10-14,54.1,54.1,54.0,54.1,40456
2019-10-15,54.0,54.1,53.9,54.1,17747
2019-10-16,54.0,54.1,54.0,54.1,163400
2019-10-17,54.1,54.1,54.1,54.1,157296
2019-10-18,54.0,54.1,54.0,54.1,69300
2019-10-21,54.1,54.1,54.1,54.1,122668
2019-10-22,54.1,54.2,54.1,54.1,161396
2019-10-23,54.0,54.2,54.0,54.2,124836
2019-10-24,54.1,54.2,54.1,54.2,3898
2019-10-25,54.2,54.3,54.2,54.3,202297
2019-10-28,54.3,54.3,54.3,54.3,1291
2019-10-29,54.0,54.3,54.0,54.3,8999
2019-10-30,54.0,54.3,54.0,54.3,4115
2019-10-31,54.3,54.3,54.3,54.3,2593
2019-11-01,54.1,54.3,54.0,54.3,30126
2019-11-04,54.3,54.3,54.0,54.2,25329
2019-11-05,54.0,54.2,54.0,54.2,13911
2019-11-06,54.0,54.2,54.0,54.2,11329
2019-11-07,54.2,54.2,54.2,54.2,5747
2019-11-08,54.1,54.2,54.0,54.2,28164
2019-11-11,54.0,54.2,53.9,54.2,38037
2019-11-12,54.0,54.2,53.9,54.2,27165
2019-11-13,54.0,54.1,54.0,54.1,16358
2019-11-14,53.9,54.1,53.9,54.1,8670
2019-11-15,53.9,54.1,53.9,54.1,17243
2019-11-18,53.9,54.1,53.9,54.1,18358
2019-11-19,53.9,53.9,53.9,53.9,6456
2019-11-20,53.9,54.0,53.9,54.0,7000
2019-11-21,54.0,54.1,53.9,54.1,23747
2019-11-22,54.1,54.1,54.1,54.1,4582
2019-11-25,53.9,54.1,53.9,54.1,21361
2019-11-26,53.9,54.1,53.9,54.1,46456
2019-11-27,54.1,54.1,54.1,54.1,5582
2019-11-28,53.9,54.1,53.9,54.1,33038
2019-11-29,53.9,54.1,53.9,54.0,12582
